File_Name,Sample_Rate,Duration_s,Avg_F0_Hz,Avg_ZCR_per_s,Avg_Energy,Voiced_Frame_Ratio,Spectral_Centroid_Mean,Spectral_Bandwidth_Mean,Spectral_Rolloff_Mean,Spectral_Flatness_Mean,MFCC1_Mean,MFCC2_Mean,MFCC3_Mean,MFCC4_Mean,MFCC5_Mean,Gender,Age
G01_D01_C_11_Angry_C3.wav,44100,3.185668934240363,259.2716884877981,838.6412057129332,0.024645759903718492,0.6363636363636364,1296.1099071044139,1308.5748779090457,971.2984317343173,0.010832381432696055,,,,,,Child,11
G01_D01_C_11_Neutral_C1.wav,44100,3.6429931972789116,252.4792759098583,1044.671304698528,0.010109830666153561,0.5586206896551724,1523.176150536031,1486.7238071863878,1327.9734753024193,0.024313689454501502,,,,,,Child,11
G01_D01_C_11_Sad_C4.wav,44100,4.211927437641723,223.78011771339132,1353.2574003379436,0.012334997259599682,0.5178571428571429,1843.64480862835,1811.6180316182424,1593.8169176532033,0.04810196960604285,,,,,,Child,11
G01_D01_C_11_Surprised_C5.wav,44100,4.200566893424036,299.52809952239414,1640.3272459165155,0.016561666422980487,0.573134328358209,2136.4252411392868,1815.4007524451554,1841.9309477566342,0.04742633008806392,,,,,,Child,11
G01_D02_M_18_Happy_C2.wav,44100,3.109501133786848,229.09361764394663,746.1278536631961,0.00550695908042282,0.6153846153846154,1024.4826452330738,1392.6470790385788,593.1418678977273,0.01617968886927677,,,,,,Male,18
G01_D02_M_18_Neutral_C1.wav,44100,3.4218367346938776,119.3387742465836,1027.298193008759,0.001816302921067291,0.5919117647058824,1382.9491998784415,1545.3460938105966,1159.9070755476805,0.026809316289201784,,,,,,Male,18
G01_D02_M_18_Sad_C4.wav,44100,3.6596371882086167,154.08170058518374,632.1992799976199,0.002532775844606964,0.6288659793814433,1085.5140351055963,1407.568860086188,840.0709885817307,0.024656164888293343,,,,,,Male,18
G01_D03_F_23_Angry_C3.wav,44100,3.5918367346938775,264.59216445056484,1337.2329608816392,0.020530801357093866,0.5804195804195804,2105.231974982805,2204.594824793482,1536.9499655330883,0.03230736245090464,,,,,,Female,23
G01_D04_M_20_Angry_C3.wav,44100,3.132562358276644,113.69804136413805,624.5332350272232,0.022539957124611428,0.642570281124498,874.8422641801657,1118.0155925954368,691.6529605263158,0.011343574522236924,,,,,,Male,20
G01_D04_M_20_Neutral_C1.wav,44100,3.7349886621315194,119.99435885456896,809.2306343837652,0.019706893095805336,0.5925925925925926,1053.8989800552445,1282.4914289969247,780.9510428950472,0.012762116583977775,,,,,,Male,20
G01_D04_M_20_Sad_C4.wav,44100,3.449092970521542,133.53263585599285,838.6303312159711,0.015947597367036583,0.5818181818181818,982.5782278714984,1197.2003948963206,752.9296875,0.011192182505933282,,,,,,Male,20
G01_D05_F_20_Happy_C2.wav,44100,3.509410430839002,290.61021388501837,1949.711038335581,0.014131634202192178,0.6415770609318996,2577.0828812663976,2831.9899794934745,1806.7005578490803,0.08203627885616654,,,,,,Female,20
G01_D05_F_20_Sad_C4.wav,44100,3.5569160997732427,235.60672707701863,1167.3218504948122,0.010102466228262474,0.5618374558303887,2288.405412337939,2792.648379023734,1466.745146194307,0.10494969756029518,,,,,,Female,20
G01_D06_F_29_Angry_C3.wav,44100,3.7964172335600908,320.79571133155804,1280.3571971732451,0.016282206135039615,0.5927152317880795,2706.3001802472195,3144.917983137058,1974.321394881966,0.1017693296542461,,,,,,Female,29
G01_D06_F_29_Happy_C2.wav,44100,4.260975056689342,307.71016748651493,1237.1487429146491,0.011210004034734765,0.6205882352941177,2477.1266999630398,3139.9915555179755,1438.4652944711538,0.08710199634989024,,,,,,Female,29
G01_D06_F_29_Sad_C4.wav,44100,3.818503401360544,242.90573695870256,1019.0785193302058,0.002458802921376394,0.5230263157894737,2576.3505792253463,3287.811447724902,1667.199969951923,0.14778720661472056,,,,,,Female,29
G01_D07_F_25_Neutral_C1.wav,44100,3.6965532879818594,289.2382451081393,1075.2417363363184,0.005204263569117385,0.6224489795918368,2215.2331962599746,2776.1275770924362,1338.955078125,0.10269237638644839,,,,,,Female,25
G01_D07_F_25_Sad_C4.wav,44100,4.666054421768708,273.7132361335605,1027.928867459436,0.00412780590353849,0.5403225806451613,2648.6324029354805,3160.4926096395075,1388.4046698335428,0.13607430755747446,,,,,,Female,25
G01_D07_F_25_Surprised_C5.wav,44100,4.328843537414966,285.4596114381687,2960.249620659903,0.012412069690517986,0.5304347826086957,3963.875222836388,3294.444887454498,3126.2242759146343,0.15120811599681422,,,,,,Female,25
G01_D08_C_14_Happy_C2.wav,44100,3.484625850340136,172.9808500775463,935.4531435225497,0.040729372357531275,0.6245487364620939,1372.420575702298,1544.5620964030159,954.2761600378788,0.029920838679098734,,,,,,Child,14
G01_D08_C_14_Neutral_C1.wav,44100,3.5815419501133787,155.86836088620777,1099.1191563927655,0.02965149214338505,0.6105263157894737,1202.2734050380664,1308.300696995199,956.0036180840164,0.013101317285542872,,,,,,Child,14
G01_D08_C_14_Surprised_C5.wav,44100,4.269115646258504,161.34419188531623,1568.3401313450709,0.02488503384218115,0.5705882352941176,1963.0205581006303,1786.098452981523,1710.943134014423,0.0356923077295765,,,,,,Child,14
G03_D01_C_10_Shocked_C5.wav,44100,4.785555555555556,278.13869622262234,3036.424682395644,0.01554572128680879,0.5497382198952879,4288.077697575714,3551.7146425549786,4011.7568335498167,0.1594637049134414,,,,,,Child,10
G03_D01_C_10_Happy_C2.wav,44100,4.164557823129251,295.39127418525294,2199.546749668526,0.04263221935182789,0.5813253012048193,3342.4472663878173,3368.4681014310327,1954.7295884683099,0.10436929681710393,,,,,,Child,10
G03_D01_C_10_Sad_C4.wav,44100,3.9361904761904762,297.7202041880956,1946.0759442901408,0.019929998318860304,0.5764331210191083,3460.446078907079,3483.8693339789515,2575.01220703125,0.12940568498070834,,,,,,Child,10
G03_D02_F_45_Furious_C3.wav,44100,4.821337868480725,279.11282478771625,4033.9086449479796,0.007530650743719866,0.5260416666666666,4673.222163578232,4792.862227423703,2959.508803284284,0.2217201003766605,,,,,,Female,45
G03_D02_F_45_Happy_C2.wav,48000,2.688,262.36247614243734,1756.8,0.006814097963174183,0.5841121495327103,3544.2438407385507,4735.438041270066,1588.4789156626507,0.1290627564538848,,,,,,Female,45
